상담회아이디,상담회주소,년,달,일,업체명,업종,설립년도,주소,홈페이지
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,"DAEIL FOOD CO.,LTD",제조,2009,GANGWON-DO WONJU-SI HEUNGEOP-MYEON SEUNGANDONG-GIL 92,http://daeilfood.kr/
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,"Haetter Co, Ltd","제조 도소매,건강식품",2003,"Rm601,8cha Daeryung technotown,481-11,Gasan-dong,Geumcheon-gu,Seoul,Korea",http://haetter.en.ec21.com
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,"Korean Ginseng Research Co., Ltd.",제조,1996,"3275 Gyeonggang-ro,Yongmun-Myeon,Yangpyeong-Gun,Gyeonggi-Do, Korea",www.ginsengresearch.com
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,hoyabiotech,농업,2017,"Hoyabiotech,3rd floor,243-19, Hyeoksin-ro, Iseo-myeon, Wanju_Gun, Jeollabuk-do, Republic of Korea",www.hoyabio.com
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,"Gloway Co., Ltd.",농산물 및 농산가공품 수출입업,2013,"40, Dongchundang-Ro, 3Beon-Gil, Daedeok-Gu, Daejeon, Korea",www.src3.com
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,"Taewoongfood Co.,Ltd.","인삼, 홍삼제품, 음료류 제조도소매, 수출, 무역",2000,"21 Daegeum-ro 196 beon-gil, Daeso-myeon, Eumseong-gun, Chungcheongbuk-do, Korea",http://www.twfood.co.kr
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,Daeheung,"농임산물가공,농임산물",2008,"180 Daebu-gil, Jillyang-eup, Gyengsan-si, Gyesang-buk-do, korea",www.alalri.co.kr
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,OKF CORPORATION,"식품,식품무역,무역(수출입업),수출대행업",1990,"54, Hakdong-ro 21-gil, Gangnam-gu, Seoul",www.okf.kr
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,"BO SUBG FOODS CO,LTD","도매,제조",1991,"150, Songi-ro, Songpa-gu, Seoul",www.bosungfc.co.kr
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,"HANWOOLTARI Co., Ltd.","새싹, 양송이, 딸기, 커피, 땅콩새싹가공",2015,"109Room, 641-28 Saimdang-ro, Gangneung-si, Gangwon-do, South Korea",www.hu194.co.kr
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,Joy Natural Co.,"식료품제조업, 농산물판매",2007,"208, 3702 Namboo-ro, Samseung-myeon, Boeun, Choongbook-do, South Korea",www.enjoygarlic.com
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,"GYODONG FOOD CO.,LTD.","식품,축산물 가공업",1998,"181, Jiyong-ro, Okcheon-gun, Chungcheongbuk-do, Korea",www.howchon.com
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,"NATURE FARM Agriculture Co. ,Ltd",농산물유통판매,2010,"257-18, Haksantopyeong-gil, Hwayang-eup, Cheongdo-gun, Gyeongsangbuk-do, Korea",www.nfdry.com
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,"HANWOOLTARI Co., Ltd.","새싹, 양송이, 딸기, 커피, 땅콩새싹가공",2015,"109Room, 641-28 Saimdang-ro, Gangneung-si, Gangwon-do, South Korea",www.hu194.co.kr
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,migafood,"제조,가공",2004,"96, Deokjeong-gil, Byeollyang-myeon,",www.sunkot.co.kr
